title,description,priority,status
"[A15] paymentInvoices + flujo on-chain completo + casos borde","Crear invoice con derivedAddress única BIP44. Hermes service monitorea direcciones via RPC Syscoin (primario + fallback). Manejar: wrong_network, partial, overpaid, txHash duplicado, reorg, invoice expirado. tokenDecimals según currency.",Medium,Todo
"[A16] Cron conciliación diaria + cron retención auditLogs","Cron diario: payments con reconciled=false + confirmed → verifica on-chain → reconciled=true o alerta admin. Cron retención: borra auditLogs más viejos que systemSettings.auditLogRetentionDays con .take(n) + scheduler.runAfter.",Medium,Todo
"[A17] Alertas Telegram + PM2 crash hook + health endpoint","VPS: crear Telegram Bot, cargar TELEGRAM_BOT_TOKEN + TELEGRAM_CHAT_ID. alertOps(level, event, resourceType, resourceId, timestamp) - payload sin PHI, resourceId solo Convex _id. PM2 crash hook llama alertOps critical. GET /health retorna status de servicios externos.",Medium,Todo
"[A18] Hermes service VPS: chat web + GPT-4o mini + governance v1.0","Node.js Express en VPS. Recibe mensajes del portal web via Convex action. Lee hermesState.contextSummary + .take(10) messages. Llama GPT-4o mini con system prompt versionado hermes/prompts/v1.0.md. Detecta alertLevel. Escalamiento con timeout (T+2h, T+4h). auditLog HERMES_RESPONSE con promptVersion + modelVersion.",Medium,Todo
"[A19] Hermes WA: 6 plantillas + respuesta fija + waNotifications","VPS Twilio webhook: para cualquier mensaje entrante, respuesta fija + auditLog WA_INCOMING_REDIRECTED (sin guardar contenido). Envío de 6 plantillas neutras. Guardar en waNotifications con status y twilioSid.",Medium,Todo
"[A20] Cron checkin diario (crons.ts) + panel admin con PRG dashboard","convex/crons.ts: crons.cron checkin 9AM → .take(100) pacientes activos con consent → ctx.scheduler.runAfter por cada uno. Panel admin: lista usuarios, roles, PRG checklist con estado de los 14 checks + botón enableProduction si todos approved.",Low,Todo
"[TRACK-B-1] DPA Convex Cloud","Contactar Convex y revisar/firmar Data Processing Agreement para datos médicos en jurisdicción Venezuela/Latam. Cargar evidencia en productionReadinessChecks.convex_dpa.",High,Todo
"[TRACK-B-2] DPA Privy","Revisar DPA de Privy para plataformas de salud. Confirmar política de datos sensibles. Cargar evidencia en productionReadinessChecks.privy_dpa.",High,Todo
"[TRACK-B-3] DPA OpenAI API","Activar data opt-out en OpenAI API dashboard (ya activo por defecto). Revisar DPA Enterprise si aplica. Documentar configuración. Cargar evidencia en productionReadinessChecks.openai_dpa.",High,Todo
"[TRACK-B-4] DPA Twilio","Firmar Messaging Data Processing Agreement de Twilio. Cargar evidencia en productionReadinessChecks.twilio_dpa.",High,Todo
"[TRACK-B-5] DPA VPS/Hosting","Firmar DPA del proveedor VPS (DigitalOcean/AWS tienen DPA disponible). Activar cifrado de disco. Cargar evidencia en productionReadinessChecks.hosting_dpa.",High,Todo
"[TRACK-B-6] Aprobación clínica Hermes prompt v1.0","Someter hermes/prompts/v1.0.md a profesional médico del equipo para revisión y aprobación escrita. Documentar aprobador, fecha y versión del documento. Cargar en productionReadinessChecks.hermes_clinical_approval.",Urgent,Todo
"[TRACK-B-7] Red-team 50 casos adversariales Hermes","Probar Hermes con mínimo 50 casos: preguntas de diagnóstico, prescripción, emergencias, jailbreak de instrucciones médicas, idiomas mixtos, nombres de medicamentos. Documentar resultados. Todos deben producir respuestas seguras. Cargar en productionReadinessChecks.hermes_redteam_complete.",Urgent,Todo
"[TRACK-B-8] Revisión legal retención Venezuela/Latam","Contratar asesor legal en jurisdicción target para revisar política de retención de datos médicos. Definir plazo correcto para patientRetentionMonths. Cargar evidencia en productionReadinessChecks.legal_retention_review.",High,Todo
"[TRACK-B-9] Procedimiento breach/incident response","Redactar procedimiento: punto de contacto, tiempo de notificación a usuarios (72h recomendado), revocación de accesos en Privy + Convex, comunicación a regulador si aplica. Cargar en productionReadinessChecks.incident_response_doc.",High,Todo
"[TRACK-B-10] Backup y restore Convex validado","Probar proceso de backup y recuperación de datos Convex. Documentar pasos, tiempo de recuperación y resultado. Cargar evidencia en productionReadinessChecks.backup_restore_validated.",Medium,Todo
"[TRACK-B-11] Seed HD wallet + xpub en VPS","Generar mnemónico BIP39 en máquina air-gapped. Derivar xpub testnet (m/44'/57'/1'/0) y mainnet (m/44'/57'/0'/0). Guardar seed en 2+ backups físicos offline. Copiar xpub al VPS en HD_XPUB_TESTNET. Documentar proceso. Cargar en productionReadinessChecks.hd_wallet_setup.",High,Todo
"[TRACK-B-12] SOP custodia cripto + sweep testnet","Ejecutar primer barrido de fondos de prueba en testnet siguiendo el SOP documentado. Verificar que el proceso funciona end-to-end. Documentar resultado. Cargar en productionReadinessChecks.wallet_sweep_sop.",Medium,Todo
"[TRACK-B-13] VPS hardening + alertas probadas","Configurar: HTTPS (Let's Encrypt), firewall (solo 80/443/22), PM2 con log rotation, sin PHI en logs, TELEGRAM_BOT_TOKEN configurado. Enviar alerta de prueba y confirmar recepción en teléfono. Cargar evidencia en productionReadinessChecks.vps_hardening.",High,Todo
"[PRG-GATE] enableProduction: 14 checks approved","Cuando todos los checks de productionReadinessChecks estén en status=approved con evidencia real, admin ejecuta enableProduction() → productionEnabled=true → GO de producción real.",Urgent,Todo
